transaction_id,transaction_date,department,category,vendor,budget,actual,status,payment_method,variance,variance_percent,anomaly,anomaly_status,month
TXN-1001,2026-01-01,Operations,Travel,Metro Travel,7885,7523,Within budget,ACH,362,-0.04590995561192137,1,Normal,2026-01
TXN-1002,2026-01-06,Operations,Office Supplies,Office Hub,4471,5302,Over budget,Corporate Card,-831,0.185864459852382,1,Normal,2026-01
TXN-1003,2026-01-11,Operations,Marketing,MarketWorks,8748,6362,Within budget,ACH,2386,-0.27274805669867397,1,Normal,2026-01
TXN-1004,2026-01-16,Operations,Professional Services,Advisory Partners,7105,8610,Over budget,Corporate Card,-1505,0.21182266009852216,1,Normal,2026-01
TXN-1005,2026-01-21,Operations,Utilities,City Power,960,7144,Over budget,Corporate Card,-6184,6.441666666666666,1,Normal,2026-01
TXN-1006,2026-02-26,Operations,Training,SkillPath,9940,6230,Within budget,ACH,3710,-0.3732394366197183,1,Normal,2026-02
TXN-1007,2026-02-04,Operations,Payroll,PayServe,7755,6294,Within budget,Wire,1461,-0.188394584139265,1,Normal,2026-02
TXN-1008,2026-02-09,Operations,Software,CloudSuite,8009,3421,Within budget,Corporate Card,4588,-0.5728555375202897,1,Normal,2026-02
TXN-1009,2026-02-14,Operations,Travel,Metro Travel,1305,347,Within budget,Wire,958,-0.7340996168582375,1,Normal,2026-02
TXN-1010,2026-02-19,Operations,Office Supplies,Office Hub,4589,4915,Over budget,ACH,-326,0.071039442144258,1,Normal,2026-02
TXN-1011,2026-03-24,Operations,Marketing,MarketWorks,3778,2415,Within budget,ACH,1363,-0.3607728957120169,1,Normal,2026-03
TXN-1012,2026-03-02,Operations,Professional Services,Advisory Partners,9442,4598,Within budget,Corporate Card,4844,-0.5130269010802796,1,Normal,2026-03
TXN-1013,2026-03-07,Operations,Utilities,City Power,6560,9605,Over budget,ACH,-3045,0.4641768292682927,1,Normal,2026-03
TXN-1014,2026-03-12,Operations,Training,SkillPath,8383,2633,Within budget,ACH,5750,-0.6859119646904449,1,Normal,2026-03
TXN-1015,2026-03-17,Operations,Payroll,PayServe,4518,656,Within budget,Corporate Card,3862,-0.8548030101814963,1,Normal,2026-03
TXN-1016,2026-04-22,Operations,Software,CloudSuite,2315,3167,Over budget,ACH,-852,0.36803455723542117,1,Normal,2026-04
TXN-1017,2026-04-27,Operations,Travel,Metro Travel,5650,3304,Within budget,Wire,2346,-0.41522123893805307,1,Normal,2026-04
TXN-1018,2026-04-05,Operations,Office Supplies,Office Hub,650,7450,Over budget,ACH,-6800,10.461538461538462,1,Normal,2026-04
TXN-1019,2026-04-10,Operations,Marketing,MarketWorks,8432,6269,Within budget,ACH,2163,-0.256522770398482,1,Normal,2026-04
TXN-1020,2026-04-15,Operations,Professional Services,Advisory Partners,6436,8823,Over budget,Corporate Card,-2387,0.3708825357364823,1,Normal,2026-04
TXN-1021,2026-05-20,Operations,Utilities,City Power,7724,7477,Within budget,Wire,247,-0.03197824961160021,1,Normal,2026-05
TXN-1022,2026-05-25,Operations,Training,SkillPath,3612,4574,Over budget,ACH,-962,0.2663344407530454,1,Normal,2026-05
TXN-1023,2026-05-03,Operations,Payroll,PayServe,9890,9162,Within budget,ACH,728,-0.07360970677451972,1,Normal,2026-05
TXN-1024,2026-05-08,Operations,Software,CloudSuite,9099,1879,Within budget,Wire,7220,-0.7934937905264314,1,Normal,2026-05
TXN-1025,2026-05-13,Operations,Travel,Metro Travel,7930,256,Within budget,Wire,7674,-0.9677175283732661,1,Normal,2026-05
TXN-1026,2026-06-18,Operations,Office Supplies,Office Hub,1983,1013,Within budget,Corporate Card,970,-0.4891578416540595,1,Normal,2026-06
TXN-1027,2026-06-23,Operations,Marketing,MarketWorks,4755,8130,Over budget,Corporate Card,-3375,0.7097791798107256,1,Normal,2026-06
TXN-1028,2026-06-01,Operations,Professional Services,Advisory Partners,446,5198,Over budget,Corporate Card,-4752,10.654708520179373,-1,Review,2026-06
TXN-1029,2026-06-06,Operations,Utilities,City Power,1572,1815,Over budget,Corporate Card,-243,0.15458015267175573,1,Normal,2026-06
TXN-1030,2026-06-11,Operations,Training,SkillPath,6959,5639,Within budget,Corporate Card,1320,-0.18968242563586724,1,Normal,2026-06
TXN-1031,2026-07-16,Operations,Payroll,PayServe,7588,1714,Within budget,ACH,5874,-0.7741170268845545,1,Normal,2026-07
TXN-1032,2026-07-21,Operations,Software,CloudSuite,9857,7837,Within budget,ACH,2020,-0.20493050623922085,1,Normal,2026-07
TXN-1033,2026-07-26,Operations,Travel,Metro Travel,3320,5021,Over budget,ACH,-1701,0.5123493975903615,1,Normal,2026-07
TXN-1034,2026-07-04,Operations,Office Supplies,Office Hub,3774,4288,Over budget,Wire,-514,0.13619501854795973,1,Normal,2026-07
TXN-1035,2026-07-09,Operations,Marketing,MarketWorks,4784,3393,Within budget,Corporate Card,1391,-0.2907608695652174,1,Normal,2026-07
TXN-1036,2026-08-14,Operations,Professional Services,Advisory Partners,1930,7094,Over budget,Corporate Card,-5164,2.675647668393782,1,Normal,2026-08
TXN-1037,2026-08-19,Operations,Utilities,City Power,1324,4072,Over budget,Corporate Card,-2748,2.0755287009063443,1,Normal,2026-08
TXN-1038,2026-08-24,Operations,Training,SkillPath,4847,986,Within budget,Wire,3861,-0.7965752011553539,1,Normal,2026-08
TXN-1039,2026-08-02,Operations,Payroll,PayServe,2312,1328,Within budget,ACH,984,-0.42560553633217996,1,Normal,2026-08
